iter	RMSE
0	0.7131253772
1	0.6868303355
2	0.662629431
3	0.639972424
4	0.6172865023
5	0.5966902782
6	0.5771481452
7	0.558992198
8	0.5414954452
9	0.5246460183
10	0.5087608695
11	0.4947881816
12	0.4809766109
13	0.4680700315
14	0.45573989
15	0.444514012
16	0.4339822769
17	0.4236996525
18	0.4140238648
19	0.4044525802
20	0.3958160868
21	0.3882874888
22	0.3813339076
23	0.3743011126
24	0.3676819103
25	0.3610679395
26	0.355185635
27	0.3467363911
28	0.3390883441
29	0.3324705263
30	0.3257197973
31	0.3196450688
32	0.3136715793
33	0.3081555012
34	0.3030275601
35	0.2982562013
36	0.2933104123
37	0.2890386901
38	0.2850165471
39	0.28114149
40	0.2772454149
41	0.2739030071
42	0.2708877399
43	0.2677592581
44	0.2650252044
45	0.2624349154
46	0.2600118102
47	0.2577634507
48	0.2555405475
49	0.2534228675
50	0.2512531887
51	0.2495087671
52	0.2481017181
53	0.2463875185
54	0.2447329689
55	0.243165973
56	0.2420419841
57	0.2407571417
58	0.2395476779
59	0.2382486098
60	0.2370828963
61	0.2357955394
62	0.2345881529
63	0.2336782951
64	0.2327987003
65	0.2318527698
66	0.230916347
67	0.2299777457
68	0.2287069146
69	0.2275990172
70	0.2265232322
71	0.2255054763
72	0.2246352319
73	0.2235704644
74	0.2226450908
75	0.221649539
76	0.2207269927
77	0.2197844905
78	0.2190954146
79	0.2183630423
80	0.218181212
81	0.2173623213
82	0.2168949076
83	0.2161129131
84	0.215647411
85	0.2148478627
86	0.2143513775
87	0.2137876859
88	0.2132632575
89	0.212866841
90	0.2122288787
91	0.2114844146
92	0.2111927352
93	0.2105746406
94	0.210166738
95	0.2094031225
96	0.2091650539
97	0.208760561
98	0.2083157608
99	0.2080162639
100	0.2076575573
101	0.2071351287
102	0.2068099223
103	0.2065185553
104	0.2062335073
105	0.2059978869
106	0.2057395369
107	0.2053432735
108	0.204940466
109	0.2045935324
110	0.204379792
111	0.20400371
112	0.2037819672
113	0.2035907107
114	0.2030626082
115	0.2028856287
116	0.2027010932
117	0.2025061285
118	0.2023123178
119	0.2020745167
120	0.2017095286
121	0.2012461648
122	0.2010183583
123	0.2008150334
124	0.2006942759
125	0.2004155468
126	0.1999944536
127	0.1997672947
128	0.1995078935
129	0.1993106996
130	0.1991284053
131	0.1989796079
132	0.1984367299
133	0.1982329867
134	0.1977644343
135	0.1976521277
136	0.1974700046
137	0.1972882177
138	0.1971164446
139	0.1969344469
140	0.1965069234
141	0.1962193969
142	0.1958807195
143	0.1957027529
144	0.1955168464
145	0.1954235259
146	0.1952343919
147	0.1951591082
148	0.1950142607
149	0.1948924407
150	0.1947186355
151	0.1945666213
152	0.1944712043
153	0.1943609191
154	0.1941419202
155	0.1939627468
156	0.1938027873
157	0.1934479633
158	0.1931737628
159	0.1928992274
160	0.1926569967
161	0.1925492655
162	0.1923891559
