iter	Passed	Remaining
0	99	298733
1	193	290016
2	290	290345
3	384	287831
4	475	284579
5	561	280425
6	656	280502
7	751	281211
8	844	280719
9	936	280053
10	1027	279089
11	1089	271212
12	1180	271345
13	1275	272003
14	1371	272946
15	1465	273331
16	1559	273722
17	1656	274438
18	1746	273999
19	1845	274925
20	1939	275105
21	2031	274942
22	2125	275065
23	2214	274644
24	2307	274551
25	2403	274893
26	2496	274901
27	2591	275017
28	2687	275363
29	2779	275191
30	2871	275041
31	2967	275271
32	3060	275162
33	3152	274971
34	3251	275477
35	3344	275363
36	3430	274745
37	3519	274345
38	3605	273716
39	3694	273360
40	3777	272624
41	3863	272134
42	3951	271709
43	4038	271331
44	4185	274865
45	4277	274716
46	4372	274754
47	4463	274512
48	4553	274223
49	4640	273797
50	4730	273525
51	4814	272969
52	4909	272962
53	5004	273027
54	5100	273092
55	5195	273128
56	5289	273095
57	5374	272620
58	5466	272506
59	5565	272719
60	5671	273268
61	5783	274054
62	5877	273992
63	5973	274049
64	6060	273673
65	6152	273501
66	6246	273463
67	6332	273052
68	6420	272723
69	6512	272579
70	6606	272541
71	6701	272518
72	6786	272113
73	6879	272013
74	6972	271944
75	7061	271683
76	7148	271372
77	7239	271212
78	7328	270965
79	7419	270821
80	7447	268373
81	7533	268067
82	7631	268218
83	7727	268256
84	7823	268300
85	7914	268160
86	8000	267874
87	8088	267670
88	8185	267739
89	8279	267694
90	8368	267512
91	8455	267273
92	8550	267264
93	8642	267195
94	8738	267226
95	8834	267228
96	8931	267286
97	9020	267120
98	9103	266746
99	9197	266717
100	9283	266456
101	9378	266457
102	9474	266479
103	9564	266331
104	9657	266262
105	9750	266208
106	9844	266175
107	9936	266072
108	10027	265961
109	10113	265705
110	10208	265689
111	10303	265694
112	10398	265673
113	10496	265716
114	10588	265621
115	10676	265430
116	10772	265457
117	10861	265277
118	10956	265248
119	11049	265193
120	11139	265042
121	11225	264801
122	11325	264900
123	11416	264787
124	11507	264671
125	11604	264703
126	11703	264763
127	11797	264713
128	11891	264648
129	11990	264713
130	12085	264679
131	12179	264628
132	12273	264563
133	12361	264388
134	12455	264331
135	12552	264339
136	12646	264282
137	12745	264324
138	12843	264351
139	12944	264441
140	13036	264334
141	13126	264193
142	13215	264033
143	13309	263970
144	13402	263893
145	13502	263950
146	13602	263992
147	13702	264059
148	13794	263947
149	13898	264062
150	13989	263938
151	14084	263896
152	14180	263870
153	14276	263837
154	14363	263639
155	14456	263545
156	14549	263471
157	14638	263301
158	14730	263207
159	14818	263023
160	14919	263079
161	15015	263050
162	15106	262935
163	15202	262897
164	15299	262877
165	15393	262804
166	15491	262792
167	15583	262687
168	15603	261375
169	15697	261314
170	15784	261131
171	15881	261119
172	15974	261048
173	16063	260890
174	16156	260807
175	16254	260808
176	16355	260855
177	16453	260856
178	16551	260843
179	16644	260756
180	16741	260734
181	16837	260702
182	16929	260604
183	17028	260615
184	17121	260528
185	17223	260574
186	17318	260517
187	17416	260512
188	17518	260547
189	17618	260563
190	17717	260571
191	17812	260514
192	17911	260500
193	18009	260489
194	18107	260462
195	18208	260493
196	18311	260541
197	18407	260496
198	18493	260304
199	18588	260243
200	18609	259143
201	18696	258970
202	18788	258874
203	18884	258822
204	18986	258864
205	19081	258808
206	19172	258683
207	19264	258582
208	19359	258522
209	19457	258508
210	19551	258437
211	19642	258319
212	19732	258189
213	19822	258062
214	19918	258010
215	20017	257997
216	20110	257918
217	20199	257770
218	20286	257616
219	20379	257525
220	20475	257473
221	20572	257431
222	20655	257227
223	20749	257146
224	20849	257141
225	20948	257129
226	21043	257059
227	21132	256932
228	21221	256794
229	21318	256749
230	21416	256715
231	21515	256699
232	21620	256754
233	21744	257025
234	21853	257130
235	21947	257051
236	22046	257022
237	22141	256952
238	22239	256921
239	22335	256863
240	22436	256858
241	22536	256843
242	22630	256754
243	22725	256691
244	22820	256619
245	22917	256565
246	23013	256504
247	23111	256465
248	23189	256206
249	23288	256178
250	23383	256101
251	23484	256088
252	23581	256039
253	23681	256022
254	23770	255879
255	23868	255838
256	23957	255702
257	24054	255652
258	24142	255498
259	24238	255435
260	24336	255390
261	24437	255382
262	24531	255296
263	24628	255239
264	24719	255128
265	24811	255019
266	24909	254976
267	25007	254922
268	25100	254829
269	25199	254793
270	25290	254682
271	25383	254578
272	25473	254450
273	25565	254344
274	25666	254333
275	25757	254219
276	25856	254178
277	25953	254123
278	26042	253982
279	26140	253936
280	26237	253878
281	26308	253565
282	26398	253444
283	26494	253374
284	26593	253336
285	26686	253239
286	26783	253182
287	26878	253109
288	26964	252944
289	27063	252903
290	27153	252782
291	27237	252603
292	27331	252508
