car_name,location,km_driven,fuel_type,transmission_type,owner_type,mileage,engine,max_power,seats,price_inr,vehicle_age,brand,model,seller_type
Maruti Wagon R LXI CNG,Mumbai,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,175000.0,14,Maruti,Wagon R LXI CNG,Unknown
Hyundai Creta 1.6 CRDi SX Option,Pune,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1250000.0,9,Hyundai,Creta 1.6 CRDi SX Option,Unknown
Honda Jazz V,Chennai,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,450000.0,13,Honda,Jazz V,Unknown
Maruti Ertiga VDI,Chennai,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,600000.0,12,Maruti,Ertiga VDI,Unknown
Audi A4 New 2.0 TDI Multitronic,Coimbatore,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,1773999.9999999998,11,Audi,A4 New 2.0 TDI Multitronic,Unknown
Hyundai EON LPG Era Plus Option,Hyderabad,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,235000.0,12,Hyundai,EON LPG Era Plus Option,Unknown
Nissan Micra Diesel XV,Jaipur,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,350000.0,11,Nissan,Micra Diesel XV,Unknown
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,1750000.0,8,Toyota,Innova Crysta 2.8 GX AT 8S,Unknown
Volkswagen Vento Diesel Comfortline,Pune,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,520000.0,11,Volkswagen,Vento Diesel Comfortline,Unknown
Tata Indica Vista Quadrajet LS,Chennai,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,195000.0,12,Tata,Indica Vista Quadrajet LS,Unknown
Maruti Ciaz Zeta,Kochi,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,994999.9999999999,6,Maruti,Ciaz Zeta,Unknown
Honda City 1.5 V AT Sunroof,Kolkata,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,449000.0,12,Honda,City 1.5 V AT Sunroof,Unknown
Maruti Swift VDI BSIV,Jaipur,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,560000.0,9,Maruti,Swift VDI BSIV,Unknown
Land Rover Range Rover 2.2L Pure,Delhi,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,2700000.0,10,Land,Rover Range Rover 2.2L Pure,Unknown
Land Rover Freelander 2 TD4 SE,Pune,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,1750000.0,12,Land,Rover Freelander 2 TD4 SE,Unknown
Mitsubishi Pajero Sport 4X4,Delhi,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1500000.0,10,Mitsubishi,Pajero Sport 4X4,Unknown
Honda Amaze S i-Dtech,Kochi,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,540000.0,8,Honda,Amaze S i-Dtech,Unknown
Maruti Swift DDiS VDI,Jaipur,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,599000.0,7,Maruti,Swift DDiS VDI,Unknown
Renault Duster 85PS Diesel RxL Plus,Kochi,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,634000.0,10,Renault,Duster 85PS Diesel RxL Plus,Unknown
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,2800000.0,10,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,Unknown
BMW 3 Series 320d,Kochi,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,1855000.0,10,BMW,3 Series 320d,Unknown
Maruti S Cross DDiS 200 Alpha,Bangalore,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,825000.0,9,Maruti,S Cross DDiS 200 Alpha,Unknown
Audi A6 2011-2015 35 TFSI Technology,Mumbai,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,2350000.0,9,Audi,A6 2011-2015 35 TFSI Technology,Unknown
